month,status,event_count,verified_count,notes
1995-01,verified,3,3,已核验官方或主流来源并完成总编复核
1995-02,verified,3,3,已核验官方或主流来源并完成总编复核
1995-03,verified,3,3,已核验官方来源并完成总编复核
1995-04,pending,0,0,
1995-05,pending,0,0,
1995-06,pending,0,0,
1995-07,pending,0,0,
1995-08,pending,0,0,
1995-09,pending,0,0,
1995-10,pending,0,0,
1995-11,pending,0,0,
1995-12,pending,0,0,
1996-01,verified,4,4,4条均经政府或主流媒体来源核验；证据截止2026-08-31
1996-02,verified,3,3,3条均已核验；主动排除发射事故中存在争议的伤亡说法
1996-03,verified,3,3,3条均经人大、政府或主流媒体来源核验；证据截止2026-08-31
1996-04,pending,0,0,
1996-05,pending,0,0,
1996-06,pending,0,0,
1996-07,pending,0,0,
1996-08,pending,0,0,
1996-09,pending,0,0,
1996-10,pending,0,0,
1996-11,pending,0,0,
1996-12,pending,0,0,
1997-01,pending,0,0,
1997-02,pending,0,0,
1997-03,pending,0,0,
1997-04,pending,0,0,
1997-05,pending,0,0,
1997-06,pending,0,0,
1997-07,pending,0,0,
1997-08,pending,0,0,
1997-09,pending,0,0,
1997-10,pending,0,0,
1997-11,pending,0,0,
1997-12,pending,0,0,
1998-01,pending,0,0,
1998-02,pending,0,0,
1998-03,pending,0,0,
1998-04,pending,0,0,
1998-05,pending,0,0,
1998-06,pending,0,0,
1998-07,pending,0,0,
1998-08,pending,0,0,
1998-09,pending,0,0,
1998-10,pending,0,0,
1998-11,pending,0,0,
1998-12,pending,0,0,
1999-01,pending,0,0,
1999-02,pending,0,0,
1999-03,pending,0,0,
1999-04,pending,0,0,
1999-05,pending,0,0,
1999-06,pending,0,0,
1999-07,pending,0,0,
1999-08,pending,0,0,
1999-09,pending,0,0,
1999-10,pending,0,0,
1999-11,pending,0,0,
1999-12,pending,0,0,
2000-01,pending,0,0,
2000-02,pending,0,0,
2000-03,pending,0,0,
2000-04,pending,0,0,
2000-05,pending,0,0,
2000-06,pending,0,0,
2000-07,pending,0,0,
2000-08,pending,0,0,
2000-09,pending,0,0,
2000-10,pending,0,0,
2000-11,pending,0,0,
2000-12,pending,0,0,
2001-01,pending,0,0,
2001-02,pending,0,0,
2001-03,pending,0,0,
2001-04,pending,0,0,
2001-05,pending,0,0,
2001-06,pending,0,0,
2001-07,pending,0,0,
2001-08,pending,0,0,
2001-09,pending,0,0,
2001-10,pending,0,0,
2001-11,pending,0,0,
2001-12,pending,0,0,
2002-01,pending,0,0,
2002-02,pending,0,0,
2002-03,pending,0,0,
2002-04,pending,0,0,
2002-05,pending,0,0,
2002-06,pending,0,0,
2002-07,pending,0,0,
2002-08,pending,0,0,
2002-09,pending,0,0,
2002-10,pending,0,0,
2002-11,pending,0,0,
2002-12,pending,0,0,
2003-01,pending,0,0,
2003-02,pending,0,0,
2003-03,pending,0,0,
2003-04,pending,0,0,
2003-05,pending,0,0,
2003-06,pending,0,0,
